drug_name,side_effect,severity,found_in_text,severity_order
Albuterol,Angioedema,Serious,True,1
Albuterol,Arrhythmia,Serious,True,1
Albuterol,Hypersensitivity,Serious,True,1
Albuterol,Back Pain,Common,True,2
Albuterol,Cough,Common,True,2
Albuterol,Edema,Common,True,2
Albuterol,Headache,Common,True,2
Albuterol,Hyperglycemia,Common,True,2
Albuterol,Hypertension,Common,True,2
Albuterol,Hypotension,Common,True,2
Albuterol,Insomnia,Common,True,2
Albuterol,Muscle Cramps,Common,True,2
Albuterol,Nervousness,Common,True,2
Albuterol,Palpitations,Common,True,2
Albuterol,Pharyngitis,Common,True,2
Albuterol,Rash,Common,True,2
Albuterol,Tachycardia,Common,True,2
Albuterol,Tremor,Common,True,2
Albuterol,Upper Respiratory Infection,Common,True,2
Albuterol,Urticaria,Common,True,2
Albuterol,Vomiting,Common,True,2
Alprazolam,Angioedema,Serious,True,1
Alprazolam,Dependence,Serious,False,1
Alprazolam,Hallucinations,Serious,True,1
Alprazolam,Hepatitis,Serious,True,1
Alprazolam,Jaundice,Serious,True,1
Alprazolam,Respiratory Depression,Serious,False,1
Alprazolam,Seizure,Serious,True,1
Alprazolam,Stevens-Johnson Syndrome,Serious,True,1
Alprazolam,Agitation,Common,True,2
Alprazolam,Anorexia,Common,True,2
Alprazolam,Anxiety,Common,True,2
Alprazolam,Blurred Vision,Common,True,2
Alprazolam,Confusion,Common,True,2
Alprazolam,Constipation,Common,True,2
Alprazolam,Decreased Libido,Common,True,2
Alprazolam,Depression,Common,True,2
Alprazolam,Diarrhea,Common,True,2
Alprazolam,Dizziness,Common,True,2
Alprazolam,Drowsiness,Common,True,2
Alprazolam,Dry Mouth,Common,True,2
Alprazolam,Edema,Common,True,2
Alprazolam,Fatigue,Common,True,2
Alprazolam,Headache,Common,True,2
Alprazolam,Hypotension,Common,True,2
Alprazolam,Insomnia,Common,True,2
Alprazolam,Irritability,Common,True,2
Alprazolam,Itching,Common,True,2
Alprazolam,Memory Problems,Common,False,2
Alprazolam,Nausea,Common,True,2
Alprazolam,Pruritus,Common,True,2
Alprazolam,Rash,Common,True,2
Alprazolam,Sedation,Common,True,2
Alprazolam,Sexual Dysfunction,Common,True,2
Alprazolam,Sleep Disturbance,Common,True,2
Alprazolam,Sweating,Common,True,2
Alprazolam,Tachycardia,Common,True,2
Alprazolam,Urinary Retention,Common,True,2
Alprazolam,Vomiting,Common,True,2
Alprazolam,Weakness,Common,True,2
Alprazolam,Weight Gain,Common,True,2
Alprazolam,Weight Loss,Common,True,2
Amitriptyline,Agranulocytosis,Serious,True,1
Amitriptyline,Arrhythmia,Serious,True,1
Amitriptyline,Hallucinations,Serious,True,1
Amitriptyline,Hepatitis,Serious,True,1
